fecha,nota_total,grupo_de,calidad_del_espectáculo,puesta_en_escena,interpretación_artística
28/10/2022,10,en pareja,10,10,10
18/10/2022,10,en pareja,10,10,10
11/10/2022,9.1,con amigos,7.5,10,10
08/10/2022,10,en pareja,10,10,10
05/09/2022,10,en pareja,10,10,10
04/09/2022,10,con amigos,10,10,10
25/08/2022,10,en familia,10,10,10
25/08/2022,10,en pareja,10,10,10
03/02/2023,10,con amigos,10,10,10
09/01/2023,10,en pareja,10,10,10
23/10/2022,10,en pareja,10,10,10
29/01/2023,10,en pareja,10,10,10
26/01/2023,10,en pareja,10,10,10
06/03/2022,10,en pareja,10,10,10
24/03/2022,9.1,en pareja,10,10,7.5
06/08/2022,10,en pareja,10,10,10
06/02/2022,10,en pareja,10,10,10
12/08/2022,9.1,con amigos,10,7.5,10
03/12/2021,9.1,en pareja,7.5,10,10
17/03/2022,10,con amigos,10,10,10
08/02/2022,10,con amigos,10,10,10
27/07/2022,10,en pareja,10,10,10
13/10/2021,10,en pareja,10,10,10
07/02/2022,10,en pareja,10,10,10
03/04/2022,10,en pareja,10,10,10
05/09/2021,10,en pareja,10,10,10
04/10/2021,10,en pareja,10,10,10
31/03/2022,10,en pareja,10,10,10
08/08/2022,10,en pareja,10,10,10
14/03/2022,9.1,solo,7.5,10,10
30/07/2022,9.1,en pareja,7.5,10,10
14/03/2022,10,con amigos,10,10,10
18/06/2022,10,con amigos,10,10,10
17/10/2021,10,con amigos,10,10,10
31/03/2022,10,con amigos,10,10,10
20/06/2022,10,con amigos,10,10,10
13/04/2022,10,en pareja,10,10,10
03/09/2021,10,con amigos,10,10,10
06/03/2022,10,con amigos,10,10,10
29/11/2021,10,en pareja,10,10,10
30/12/2021,10,en familia,10,10,10
07/02/2022,10,en pareja,10,10,10
21/01/2022,10,en pareja,10,10,10
08/12/2021,10,en familia,10,10,10
31/03/2022,10,con amigos,10,10,10
20/06/2022,10,con amigos,10,10,10
13/04/2022,10,en pareja,10,10,10
03/09/2021,10,con amigos,10,10,10
06/03/2022,10,con amigos,10,10,10
29/11/2021,10,en pareja,10,10,10
30/12/2021,10,en familia,10,10,10
07/02/2022,10,en pareja,10,10,10
21/01/2022,10,en pareja,10,10,10
08/12/2021,10,en familia,10,10,10
22/11/2021,10,en familia,10,10,10
02/05/2022,10,en pareja,10,10,10
07/03/2022,10,en pareja,10,10,10
14/03/2022,10,con amigos,10,10,10
02/10/2021,10,en pareja,10,10,10
12/10/2021,9.1,en pareja,10,7.5,10
15/08/2022,10,en familia,10,10,10
16/02/2022,10,con amigos,10,10,10
23/05/2022,10,con amigos,10,10,10
17/07/2022,10,en pareja,10,10,10
05/03/2022,10,en pareja,10,10,10
12/07/2022,10,en pareja,10,10,10
08/08/2022,10,en pareja,10,10,10
04/08/2022,10,en pareja,10,10,10
17/07/2022,9.1,en pareja,10,7.5,10
13/05/2022,10,con amigos,10,10,10
28/03/2022,10,solo,10,10,10
14/02/2022,10,en pareja,10,10,10
09/02/2022,10,con amigos,10,10,10
12/09/2021,10,en pareja,10,10,10
04/12/2021,10,con amigos,10,10,10
20/07/2022,10,en pareja,10,10,10
02/06/2022,10,con amigos,10,10,10
06/12/2021,9.1,en familia,7.5,10,10
06/12/2021,10,con amigos,10,10,10
04/11/2021,9.1,en pareja,10,10,7.5
10/01/2022,10,en pareja,10,10,10
13/12/2021,10,con amigos,10,10,10
16/08/2022,10,en pareja,10,10,10
18/10/2021,10,con amigos,10,10,10
27/02/2022,10,con amigos,10,10,10
14/02/2022,10,en pareja,10,10,10
02/02/2022,10,con amigos,10,10,10
08/01/2022,10,en pareja,10,10,10
18/10/2021,10,con amigos,10,10,10
28/09/2021,10,en pareja,10,10,10
22/07/2022,10,en familia,10,10,10
20/06/2022,10,en pareja,10,10,10
05/04/2022,10,en pareja,10,10,10
28/03/2022,10,con amigos,10,10,10
07/02/2022,10,en pareja,10,10,10
31/01/2022,10,en pareja,10,10,10
16/12/2021,10,con amigos,10,10,10
17/02/2022,10,en familia,10,10,10
09/02/2022,10,en pareja,10,10,10
01/02/2022,10,con amigos,10,10,10
20/07/2022,10,en familia,10,10,10
06/06/2022,10,con amigos,10,10,10
15/05/2022,10,con amigos,10,10,10
03/05/2022,10,con amigos,10,10,10
15/05/2022,10,con amigos,10,10,10
03/05/2022,10,con amigos,10,10,10
17/02/2022,10,en familia,10,10,10
09/02/2022,10,en pareja,10,10,10
01/02/2022,10,con amigos,10,10,10
10/08/2022,10,en pareja,10,10,10
21/02/2022,10,con amigos,10,10,10
22/11/2021,10,en pareja,10,10,10
20/02/2022,10,con amigos,10,10,10
11/11/2021,10,con amigos,10,10,10
26/05/2022,10,con amigos,10,10,10
07/02/2022,10,con amigos,10,10,10
26/03/2022,10,con amigos,10,10,10
11/01/2022,10,en pareja,10,10,10
03/04/2022,10,en pareja,10,10,10
25/02/2022,10,en pareja,10,10,10
17/10/2021,10,en pareja,10,10,10
27/06/2022,10,en pareja,10,10,10
