nombre_show,tipo_show,precio,duracion,local,nota_atrapalo,numero_opiniones,tipo_local,valoracion_google,numero_reseñas_google,coordenadas
Rodrigo Marques - Estamos vivos,show,9.75,60.0,Teatro Amaya,,,teatro,4.3,4296.0,"(40.4351466, -3.6970943)"
Miguel Sincero - Píkaro,show,15.0,90.0,Teatro Chocita del Loro - Gran Vía,9.2,11.0,teatro,4.5,4273.0,"(40.4683282, -3.8707172)"
Cincuentañer@s,show,10.0,60.0,Clandestino Café Teatro,8.4,9.0,teatro,4.4,119.0,"(40.419694, -3.7025472)"
Heterobásicos,show,10.0,60.0,Clandestino Café Teatro,,,teatro,4.4,119.0,"(40.419694, -3.7025472)"
Popurrí: Miguel Miguel en Platea,show,10.0,80.0,Platea Café Teatro,9.7,8.0,teatro,4.6,361.0,"(40.3493214, -3.5414559)"
La vida me importa un huevo,show,10.0,75.0,Vodevil Circus,10.0,1.0,teatro,4.9,159.0,"(40.48500660617931, -3.3599625803074087)"
Sujétame El Micrófono,show,8.0,60.0,Clandestino Café Teatro,,,teatro,4.4,119.0,"(40.419694, -3.7025472)"
Humor de Perros,show,10.0,60.0,Clandestino Café Teatro,8.7,9.0,teatro,4.4,119.0,"(40.419694, -3.7025472)"
Capilladas,show,10.0,60.0,Clandestino Café Teatro,10.0,3.0,teatro,4.4,119.0,"(40.419694, -3.7025472)"
Pero Que Me Estas Contando!? - Monologo y Comedia,show,10.0,60.0,Clandestino Café Teatro,8.5,16.0,teatro,4.4,119.0,"(40.419694, -3.7025472)"
"Kalderas, Sin Filtro",show,10.0,60.0,Clandestino Café Teatro,,,teatro,4.4,119.0,"(40.419694, -3.7025472)"
Situaciones incómodas - Marcos Arizmendi,show,10.0,60.0,Clandestino Café Teatro,9.9,10.0,teatro,4.4,119.0,"(40.419694, -3.7025472)"
Sin Pelos En La Lengua,show,5.0,60.0,Clandestino Café Teatro,10.0,1.0,teatro,4.4,119.0,"(40.419694, -3.7025472)"
"Comedia Canalla, El Incorrecto",show,8.0,60.0,Clandestino Café Teatro,6.8,6.0,teatro,4.4,119.0,"(40.419694, -3.7025472)"
El Humor De Los 90s Hoy,show,10.0,60.0,Clandestino Café Teatro,7.5,2.0,teatro,4.4,119.0,"(40.419694, -3.7025472)"
Histéricas,show,6.0,80.0,Estupenda Bar,9.5,5.0,bar,4.2,1047.0,"(40.4225962, -3.7046498)"
Juanete Deltó: ¡de esta no salimos!,show,5.0,75.0,Estupenda Bar,,,bar,4.2,1047.0,"(40.4225962, -3.7046498)"
"Alicia Montoya, Payasa",show,7.0,83.0,Tropicana Beach Club Madrid,,,bar,4.1,290.0,"(40.4143906, -3.7065497)"
Mangos y Papayas,show,7.0,80.0,Estupenda Bar,9.8,80.0,bar,4.2,1047.0,"(40.4225962, -3.7046498)"
Ríete que es un chiste: Himar Armas & Juan Morales,show,10.0,70.0,Sala Galileo Galilei,9.5,252.0,espacios variados,4.3,4057.0,"(40.4385349, -3.7098303)"
Pifostio: show de comedia,show,8.0,75.0,El Sombrerero Comedy Club,9.7,45.0,club de comedia,4.5,4.0,"(40.4317969, -3.7008063)"
Ganso: el show de Edu J.,show,9.0,70.0,MadBeerHall,10.0,6.0,,,,
Micky McPhantom y Molina Gómez - ¿Todo Bien!,show,15.0,90.0,Teatro Chocita del Loro - Gran Vía,8.6,11.0,teatro,4.5,4273.0,"(40.4683282, -3.8707172)"
Aquí no hay playa Summer Edition,show,12.0,70.0,La Casa de Rovodorovsky Teatro,,,teatro,4.3,3.0,"(40.4271719, -3.706452)"
Hay que Tener Huevos / Alcobendas Sanse- La Nota Rock,show,4.0,90.0,La Nota Rock,,,bar,4.5,578.0,"(40.5471734, -3.6255753)"
Carolina Noriega en Platea,show,10.0,80.0,Platea Café Teatro,10.0,1.0,teatro,4.6,361.0,"(40.3493214, -3.5414559)"
Nacho punto G en Platea,show,10.0,90.0,Platea Café Teatro,8.1,4.0,teatro,4.6,361.0,"(40.3493214, -3.5414559)"
Álvaro Seko en Platea,show,10.0,70.0,Platea Café Teatro,10.0,2.0,teatro,4.6,361.0,"(40.3493214, -3.5414559)"
Ruinas Planchuelo en Platea,show,10.0,80.0,Platea Café Teatro,7.5,1.0,teatro,4.6,361.0,"(40.3493214, -3.5414559)"
Solo Amalio en Platea,show,10.0,80.0,Platea Café Teatro,8.6,5.0,teatro,4.6,361.0,"(40.3493214, -3.5414559)"
Ismael Galán en Platea,show,10.0,70.0,Platea Café Teatro,,,teatro,4.6,361.0,"(40.3493214, -3.5414559)"
Pepa Golden en Platea,show,10.0,80.0,Platea Café Teatro,9.2,2.0,teatro,4.6,361.0,"(40.3493214, -3.5414559)"
Miguel Sincero en Platea,show,10.0,70.0,Platea Café Teatro,8.8,5.0,teatro,4.6,361.0,"(40.3493214, -3.5414559)"
Juank en Platea,show,10.0,80.0,Platea Café Teatro,10.0,1.0,teatro,4.6,361.0,"(40.3493214, -3.5414559)"
Mario Mechón en Platea,show,10.0,80.0,Platea Café Teatro,,,teatro,4.6,361.0,"(40.3493214, -3.5414559)"
Jorge Gallardo en Platea,show,10.0,70.0,Platea Café Teatro,10.0,1.0,teatro,4.6,361.0,"(40.3493214, -3.5414559)"
Oscar Bárez en Platea,show,10.0,80.0,Platea Café Teatro,10.0,3.0,teatro,4.6,361.0,"(40.3493214, -3.5414559)"
Dos de Cal,show,10.0,90.0,Vodevil Circus,,,teatro,4.9,159.0,"(40.48500660617931, -3.3599625803074087)"
La Vida me Importa un Huevo - Un monólogo de Arturo Cejas,show,6.0,60.0,Estación Malasaña,9.2,6.0,bar,4.5,344.0,"(40.4236731, -3.7051859)"
El Capi es mi cuñao,show,10.0,50.0,Vodevil Circus,9.9,13.0,teatro,4.9,159.0,"(40.48500660617931, -3.3599625803074087)"
¡Se vienen Cositas!,show,10.0,60.0,Estación Malasaña,,,bar,4.5,344.0,"(40.4236731, -3.7051859)"
Open Mic - Monólogos,open_mic,6.0,120.0,Vodevil Circus,9.6,10.0,teatro,4.9,159.0,"(40.48500660617931, -3.3599625803074087)"
Zapatiburger: 4 cómicos + 1 batería + 1 cantante,show,5.0,80.0,Sleep'n Atocha,,,hotel,4.4,1947.0,"(40.4091457, -3.6930506)"
Tonta,show,10.0,70.0,Mad Beer Hall,,,bar,4.3,990.0,"(40.4351142, -3.631265840686254)"
Sin pelos en la lengua,show,10.0,60.0,Collage Burlesque,,,bar,4.6,56.0,"(40.42912525, -3.698373844811268)"
Micro Abierto Monólogos Madrid,open_mic,7.0,60.0,Escuela de Danza y Centro Deportivo Belo Art,9.6,4.0,espacios variados,4.9,98.0,"(40.4561567, -3.7075621)"
Comedia con Javi DelPe,show,6.0,80.0,Estupenda Bar,9.1,73.0,bar,4.2,1047.0,"(40.4225962, -3.7046498)"
"Dos Gordos muy Grasiosos, en Estación Malasaña",show,7.0,75.0,Estación Malasaña,9.4,29.0,bar,4.5,344.0,"(40.4236731, -3.7051859)"
Luis Gerónimo Abreu - Camas,show,20.0,75.0,Pequeño Teatro Gran Vía de Madrid,,,teatro,4.5,1975.0,"(40.4683282, -3.8707172)"
Monólogos en San Sebastián de los Reyes,cuenta_local,6.5,75.0,La Nota Rock,,,bar,4.5,578.0,"(40.5471734, -3.6255753)"
Si te ríes: ¡Gano! - Concurso monólogos (San Sebastián de los Reyes),concurso,6.0,83.0,La Nota Rock,8.6,48.0,bar,4.5,578.0,"(40.5471734, -3.6255753)"
La Noche de la Risa,show,18.0,90.0,Teatro Capitol Gran Vía,9.9,1237.0,teatro,4.2,4902.0,"(40.4683282, -3.8707172)"
